Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi;Macro F1-score
MTCD+BSIF;15x15;9;0,2;linear;100;99,167;99,134
MTCD+BSIF;15x15;10;0,2;rbf;100;99,167;99,133
MTCD+BSIF;15x15;10;0,2;rbf;10;99,167;99,133
MTCD+BSIF;13x13;7;N/A;poly;10;99,167;99,131
MTCD+BSIF;13x13;7;N/A;poly;100;99,167;99,131
MTCD+BSIF;17x17;11;0,4;rbf;1;99,167;99,125
MTCD+BSIF;17x17;5;0,8;rbf;10;99,167;99,122
MTCD+BSIF;17x17;5;0,8;rbf;100;99,167;99,122
MTCD+BSIF;15x15;6;N/A;poly;10;99,167;99,121
MTCD+BSIF;15x15;6;N/A;poly;100;99,167;99,121
MTCD+BSIF;15x15;10;0,2;linear;100;99,167;99,116
MTCD+BSIF;15x15;10;0,2;linear;10;99,167;99,116
MTCD+BSIF;15x15;5;N/A;poly;10;99,167;99,107
MTCD+BSIF;15x15;5;N/A;poly;100;99,167;99,107
MTCD+BSIF;15x15;8;N/A;poly;10;99,115;99,097
MTCD+BSIF;15x15;8;N/A;poly;100;99,115;99,097
MTCD+BSIF;17x17;9;0,2;rbf;1;99,115;99,086
MTCD+BSIF;13x13;9;N/A;poly;10;99,115;99,081
MTCD+BSIF;13x13;9;N/A;poly;100;99,115;99,081
MTCD+BSIF;15x15;12;0,6;linear;10;99,115;99,079
MTCD+BSIF;15x15;12;N/A;rbf;10;99,115;99,079
MTCD+BSIF;15x15;12;0,6;linear;100;99,115;99,079
MTCD+BSIF;15x15;12;N/A;rbf;100;99,115;99,079
MTCD+BSIF;13x13;10;N/A;poly;10;99,115;99,073
MTCD+BSIF;13x13;10;N/A;poly;100;99,115;99,073
MTCD+BSIF;13x13;10;N/A;poly;1;99,115;99,073
MTCD+BSIF;13x13;7;N/A;poly;1;99,115;99,065
MTCD+BSIF;15x15;7;0,4;linear;1;99,167;99,063
MTCD+BSIF;15x15;5;N/A;poly;1;99,115;99,062
MTCD+BSIF;17x17;5;0,4;rbf;10;99,115;99,056
MTCD+BSIF;17x17;5;0,4;rbf;100;99,115;99,056
MTCD+BSIF;13x13;10;N/A;rbf;10;99,115;99,053
MTCD+BSIF;13x13;10;0,4;linear;10;99,115;99,053
MTCD+BSIF;13x13;10;N/A;rbf;100;99,115;99,053
MTCD+BSIF;13x13;10;0,4;linear;100;99,115;99,053
MTCD+BSIF;15x15;5;0,4;rbf;10;99,115;99,051
MTCD+BSIF;15x15;5;0,4;rbf;100;99,115;99,051
MTCD+BSIF;17x17;11;0,2;rbf;10;99,062;99,032
MTCD+BSIF;17x17;11;0,2;rbf;100;99,062;99,032
MTCD+BSIF;15x15;12;0,6;linear;1;99,062;99,027
MTCD+BSIF;13x13;9;N/A;poly;1;99,062;99,025
MTCD+BSIF;15x15;8;0,4;linear;10;99,062;99,024
MTCD+BSIF;15x15;8;0,4;linear;100;99,062;99,024
MTCD+BSIF;15x15;7;0,2;linear;100;99,062;99,022
MTCD+BSIF;15x15;7;0,2;linear;10;99,062;99,022
MTCD+BSIF;15x15;10;0,6;rbf;1;99,167;99,019
MTCD+BSIF;15x15;10;0,8;rbf;1;99,167;99,019
MTCD+BSIF;13x13;9;0,4;linear;100;99,062;99,018
MTCD+BSIF;13x13;9;0,4;linear;10;99,062;99,018
MTCD+BSIF;15x15;10;0,2;linear;1;99,062;99,005
MTCD+BSIF;13x13;10;0,8;linear;10;99,062;99,001
MTCD+BSIF;13x13;10;0,8;linear;100;99,062;99,001
MTCD+BSIF;17x17;5;0,6;rbf;100;99,062;98,998
MTCD+BSIF;17x17;5;0,6;rbf;10;99,062;98,998
MTCD+BSIF;17x17;5;0,2;rbf;10;99,062;98,997
MTCD+BSIF;17x17;5;0,2;rbf;100;99,062;98,997
MTCD+BSIF;15x15;7;0,6;rbf;100;99,062;98,993
MTCD+BSIF;15x15;7;0,6;rbf;10;99,062;98,993
MTCD+BSIF;15x15;12;0,8;linear;10;99,01;98,975
MTCD+BSIF;15x15;12;N/A;linear;100;99,01;98,975
MTCD+BSIF;15x15;12;0,8;linear;100;99,01;98,975
MTCD+BSIF;15x15;12;N/A;linear;1;99,01;98,975
MTCD+BSIF;15x15;12;0,8;linear;1;99,01;98,975
MTCD+BSIF;15x15;12;N/A;linear;10;99,01;98,975
MTCD+BSIF;13x13;11;0,8;linear;1;99,062;98,971
MTCD+BSIF;13x13;11;N/A;linear;1;99,062;98,971
