Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
BSIF+MTCD;15x15;11;N/A;rbf;100;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,6;linear;1;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,8;linear;1;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;linear;10;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;linear;1;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;rbf;10;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;8;0,8;linear;100;99,271 $\pm$ 0,345
BSIF+MTCD;15x15;8;0,8;linear;10;99,271 $\pm$ 0,345
BSIF+MTCD;17x17;12;0,2;linear;1;99,271 $\pm$ 0,541
BSIF+MTCD;17x17;6;0,4;rbf;1;99,271 $\pm$ 0,454
BSIF+MTCD;17x17;6;0,8;rbf;1;99,271 $\pm$ 0,454
BSIF+MTCD;17x17;7;0,8;rbf;1;99,323 $\pm$ 0,812
BSIF+MTCD;17x17;8;0,4;rbf;1;99,271 $\pm$ 0,541
BSIF+MTCD;17x17;8;0,8;rbf;1;99,271 $\pm$ 0,541
BSIF+MTCD;15x15;7;0,6;linear;1;99,323 $\pm$ 0,825
BSIF+MTCD;13x13;9;0,8;linear;100;99,271 $\pm$ 0,561
BSIF+MTCD;13x13;9;N/A;linear;10;99,271 $\pm$ 0,561
BSIF+MTCD;13x13;9;0,8;linear;10;99,271 $\pm$ 0,561
BSIF+MTCD;13x13;9;N/A;linear;100;99,271 $\pm$ 0,561
BSIF+MTCD;15x15;8;N/A;poly;1;99,219 $\pm$ 0,227
BSIF+MTCD;17x17;11;0,4;rbf;1;99,219 $\pm$ 0,539
BSIF+MTCD;15x15;10;0,2;rbf;10;99,219 $\pm$ 0,4
BSIF+MTCD;15x15;10;0,2;rbf;100;99,219 $\pm$ 0,4
BSIF+MTCD;15x15;11;0,4;rbf;10;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,6;rbf;100;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,6;rbf;10;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,8;rbf;10;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,4;linear;100;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,8;rbf;100;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,4;linear;10;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,4;rbf;100;99,219 $\pm$ 0,342
BSIF+MTCD;13x13;9;0,8;linear;1;99,219 $\pm$ 0,4
BSIF+MTCD;17x17;10;0,2;rbf;10;99,219 $\pm$ 0,4
BSIF+MTCD;17x17;10;0,2;rbf;100;99,219 $\pm$ 0,4
BSIF+MTCD;15x15;8;N/A;linear;100;99,219 $\pm$ 0,308
BSIF+MTCD;15x15;8;N/A;linear;10;99,219 $\pm$ 0,308
BSIF+MTCD;15x15;5;N/A;rbf;100;99,219 $\pm$ 0,475
BSIF+MTCD;15x15;5;N/A;rbf;10;99,219 $\pm$ 0,475
BSIF+MTCD;13x13;9;0,6;linear;10;99,219 $\pm$ 0,648
BSIF+MTCD;13x13;9;0,6;linear;100;99,219 $\pm$ 0,648
BSIF+MTCD;13x13;9;N/A;linear;1;99,219 $\pm$ 0,518
BSIF+MTCD;17x17;6;0,2;rbf;100;99,219 $\pm$ 0,475
BSIF+MTCD;17x17;6;0,2;rbf;10;99,219 $\pm$ 0,475
BSIF+MTCD;17x17;8;0,6;rbf;1;99,219 $\pm$ 0,614
BSIF+MTCD;17x17;7;0,4;rbf;1;99,219 $\pm$ 0,648
BSIF+MTCD;15x15;9;0,2;rbf;10;99,167 $\pm$ 0,329
BSIF+MTCD;15x15;9;0,2;rbf;100;99,167 $\pm$ 0,329
BSIF+MTCD;15x15;12;N/A;poly;100;99,167 $\pm$ 0,737
BSIF+MTCD;15x15;12;N/A;poly;1;99,167 $\pm$ 0,737
BSIF+MTCD;15x15;12;N/A;poly;10;99,167 $\pm$ 0,737
BSIF+MTCD;17x17;12;0,2;linear;10;99,167 $\pm$ 0,489
BSIF+MTCD;17x17;12;0,2;linear;100;99,167 $\pm$ 0,489
