Fitur;PCA;Kernel;C;Akurasi
MTCD;0,2;rbf;100;99,219 $\pm$ 0,4
MTCD;0,4;rbf;10;99,219 $\pm$ 0,342
MTCD;0,6;rbf;100;99,219 $\pm$ 0,342
MTCD;0,6;rbf;10;99,219 $\pm$ 0,342
MTCD;0,8;rbf;10;99,219 $\pm$ 0,342
MTCD;0,4;linear;100;99,219 $\pm$ 0,342
MTCD;0,8;rbf;100;99,219 $\pm$ 0,342
MTCD;0,4;linear;10;99,219 $\pm$ 0,342
MTCD;0,4;rbf;100;99,219 $\pm$ 0,342
MTCD;0,8;linear;1;99,219 $\pm$ 0,4
MTCD;0,2;rbf;10;99,219 $\pm$ 0,4
MTCD;0,2;rbf;100;99,219 $\pm$ 0,4
MTCD;N/A;linear;100;99,219 $\pm$ 0,308
MTCD;N/A;linear;10;99,219 $\pm$ 0,308
MTCD;N/A;rbf;100;99,219 $\pm$ 0,475
MTCD;N/A;rbf;10;99,219 $\pm$ 0,475
MTCD;0,6;linear;10;99,219 $\pm$ 0,648
MTCD;0,6;linear;100;99,219 $\pm$ 0,648
MTCD;N/A;linear;1;99,219 $\pm$ 0,518
MTCD;0,2;rbf;100;99,219 $\pm$ 0,475
MTCD;0,2;rbf;10;99,219 $\pm$ 0,475
MTCD;0,6;rbf;1;99,219 $\pm$ 0,614
MTCD;0,4;rbf;1;99,219 $\pm$ 0,648
MTCD;0,2;rbf;10;99,167 $\pm$ 0,329
MTCD;0,2;rbf;100;99,167 $\pm$ 0,329
MTCD;N/A;poly;100;99,167 $\pm$ 0,737
MTCD;N/A;poly;1;99,167 $\pm$ 0,737
MTCD;N/A;poly;10;99,167 $\pm$ 0,737
MTCD;0,2;linear;10;99,167 $\pm$ 0,489
MTCD;0,2;linear;100;99,167 $\pm$ 0,489
MTCD;0,4;linear;1;99,167 $\pm$ 0,39
MTCD;0,8;rbf;100;99,167 $\pm$ 0,39
MTCD;0,8;rbf;10;99,167 $\pm$ 0,39
MTCD;0,6;rbf;10;99,167 $\pm$ 0,39
MTCD;0,6;rbf;100;99,167 $\pm$ 0,39
MTCD;0,2;linear;10;99,167 $\pm$ 0,208
MTCD;0,2;linear;100;99,167 $\pm$ 0,208
MTCD;N/A;poly;100;99,167 $\pm$ 0,642
MTCD;N/A;poly;10;99,167 $\pm$ 0,642
MTCD;0,6;linear;100;99,167 $\pm$ 0,607
MTCD;0,6;linear;10;99,167 $\pm$ 0,607
MTCD;0,8;rbf;10;99,167 $\pm$ 0,589
MTCD;0,8;rbf;100;99,167 $\pm$ 0,589
MTCD;N/A;poly;10;99,167 $\pm$ 0,531
MTCD;N/A;poly;100;99,167 $\pm$ 0,531
MTCD;0,2;linear;100;99,167 $\pm$ 0,417
MTCD;0,2;linear;10;99,167 $\pm$ 0,417
MTCD;0,6;linear;1;99,167 $\pm$ 0,489
MTCD;N/A;poly;10;99,167 $\pm$ 0,589
MTCD;N/A;poly;100;99,167 $\pm$ 0,589
MTCD;N/A;poly;100;99,115 $\pm$ 0,308
MTCD;N/A;poly;10;99,115 $\pm$ 0,308
MTCD;0,2;rbf;1;99,115 $\pm$ 0,342
MTCD;N/A;poly;100;99,115 $\pm$ 0,518
MTCD;N/A;poly;10;99,115 $\pm$ 0,518
MTCD;0,6;linear;1;99,115 $\pm$ 0,631
MTCD;N/A;rbf;10;99,115 $\pm$ 0,631
MTCD;N/A;rbf;100;99,115 $\pm$ 0,631
MTCD;N/A;poly;100;99,115 $\pm$ 0,851
MTCD;N/A;poly;10;99,115 $\pm$ 0,851
MTCD;N/A;poly;1;99,115 $\pm$ 0,851
MTCD;N/A;poly;1;99,115 $\pm$ 0,681
MTCD;0,4;linear;1;99,167 $\pm$ 0,737
MTCD;N/A;poly;1;99,115 $\pm$ 0,518
MTCD;0,4;rbf;100;99,115 $\pm$ 0,665
MTCD;0,4;rbf;10;99,115 $\pm$ 0,665
MTCD;N/A;rbf;100;99,115 $\pm$ 0,948
MTCD;0,4;linear;100;99,115 $\pm$ 0,901
MTCD;N/A;rbf;10;99,115 $\pm$ 0,948
MTCD;0,4;linear;10;99,115 $\pm$ 0,901
MTCD;0,4;rbf;10;99,115 $\pm$ 0,596
MTCD;0,4;rbf;100;99,115 $\pm$ 0,596
MTCD;0,2;rbf;100;99,062 $\pm$ 0,521
MTCD;0,2;rbf;10;99,062 $\pm$ 0,521
MTCD;N/A;poly;1;99,062 $\pm$ 0,541
MTCD;0,2;linear;100;99,062 $\pm$ 0,18
MTCD;0,2;linear;10;99,062 $\pm$ 0,18
MTCD;0,8;rbf;1;99,167 $\pm$ 0,846
MTCD;0,6;rbf;1;99,167 $\pm$ 0,846
MTCD;0,2;linear;1;99,062 $\pm$ 0,561
MTCD;0,6;linear;10;99,062 $\pm$ 0,983
MTCD;0,6;linear;100;99,062 $\pm$ 0,983
MTCD;0,8;linear;10;99,062 $\pm$ 0,938
MTCD;0,8;linear;100;99,062 $\pm$ 0,938
MTCD;0,6;rbf;100;99,062 $\pm$ 0,744
MTCD;0,6;rbf;10;99,062 $\pm$ 0,744
MTCD;0,2;rbf;10;99,062 $\pm$ 0,598
MTCD;0,2;rbf;100;99,062 $\pm$ 0,598
MTCD;0,6;rbf;100;99,062 $\pm$ 0,477
MTCD;0,6;rbf;10;99,062 $\pm$ 0,477
MTCD;N/A;linear;10;99,01 $\pm$ 0,712
MTCD;0,8;linear;100;99,01 $\pm$ 0,712
MTCD;N/A;linear;1;99,01 $\pm$ 0,712
MTCD;0,8;linear;10;99,01 $\pm$ 0,712
MTCD;N/A;linear;100;99,01 $\pm$ 0,712
MTCD;0,8;linear;1;99,01 $\pm$ 0,712
MTCD;0,8;linear;1;99,062 $\pm$ 0,699
MTCD;0,6;linear;1;99,062 $\pm$ 0,699
MTCD;N/A;linear;1;99,062 $\pm$ 0,699
MTCD;0,4;linear;100;99,01 $\pm$ 0,372
MTCD;0,4;linear;10;99,01 $\pm$ 0,372
MTCD;0,8;linear;10;99,062 $\pm$ 0,758
MTCD;0,8;linear;100;99,062 $\pm$ 0,758
MTCD;0,4;linear;10;99,01 $\pm$ 0,559
MTCD;0,4;linear;100;99,01 $\pm$ 0,559
MTCD;0,4;linear;1;99,01 $\pm$ 0,451
MTCD;N/A;linear;100;99,01 $\pm$ 0,648
MTCD;N/A;linear;10;99,01 $\pm$ 0,648
MTCD;N/A;linear;100;99,01 $\pm$ 0,936
MTCD;N/A;linear;10;99,01 $\pm$ 0,936
MTCD;0,4;linear;10;99,01 $\pm$ 0,648
MTCD;0,4;linear;100;99,01 $\pm$ 0,648
MTCD;0,2;rbf;1;99,01 $\pm$ 0,342
MTCD;0,6;rbf;10;99,01 $\pm$ 0,812
MTCD;0,8;rbf;10;99,01 $\pm$ 0,812
MTCD;0,6;rbf;100;99,01 $\pm$ 0,812
MTCD;0,8;rbf;100;99,01 $\pm$ 0,812
MTCD;N/A;linear;100;99,01 $\pm$ 0,697
MTCD;N/A;linear;10;99,01 $\pm$ 0,697
MTCD;0,6;linear;100;99,01 $\pm$ 0,596
MTCD;N/A;linear;10;99,01 $\pm$ 0,596
MTCD;0,6;linear;10;99,01 $\pm$ 0,596
MTCD;0,8;linear;10;99,01 $\pm$ 0,596
MTCD;0,8;linear;100;99,01 $\pm$ 0,596
MTCD;N/A;linear;100;99,01 $\pm$ 0,596
MTCD;0,2;linear;10;98,958 $\pm$ 0,361
MTCD;0,2;linear;100;98,958 $\pm$ 0,361
MTCD;N/A;rbf;100;99,01 $\pm$ 0,596
MTCD;0,4;rbf;100;99,01 $\pm$ 0,539
MTCD;0,4;rbf;10;99,01 $\pm$ 0,539
MTCD;0,8;rbf;100;99,01 $\pm$ 0,539
MTCD;0,8;rbf;10;99,01 $\pm$ 0,539
MTCD;0,4;linear;10;98,958 $\pm$ 0,765
MTCD;0,4;linear;100;98,958 $\pm$ 0,765
MTCD;0,4;rbf;100;98,958 $\pm$ 0,466
MTCD;0,4;rbf;10;98,958 $\pm$ 0,466
MTCD;0,6;linear;100;99,01 $\pm$ 0,742
MTCD;0,6;linear;10;99,01 $\pm$ 0,742
MTCD;N/A;linear;100;99,01 $\pm$ 0,697
MTCD;N/A;linear;10;99,01 $\pm$ 0,697
MTCD;N/A;rbf;100;99,01 $\pm$ 0,812
MTCD;N/A;rbf;10;99,01 $\pm$ 0,812
MTCD;0,2;linear;1;98,958 $\pm$ 0,39
MTCD;0,4;rbf;1;99,062 $\pm$ 0,786
MTCD;0,8;linear;1;99,01 $\pm$ 1,025
MTCD;0,6;linear;1;99,01 $\pm$ 1,025
MTCD;0,4;linear;1;99,01 $\pm$ 1,025
MTCD;N/A;linear;1;99,01 $\pm$ 1,025
MTCD;0,8;linear;100;98,958 $\pm$ 0,706
MTCD;0,8;linear;10;98,958 $\pm$ 0,706
MTCD;0,6;rbf;1;99,01 $\pm$ 0,771
MTCD;0,8;rbf;1;99,01 $\pm$ 0,771
MTCD;0,4;linear;100;98,958 $\pm$ 0,589
MTCD;0,4;linear;10;98,958 $\pm$ 0,589
MTCD;0,6;linear;10;98,958 $\pm$ 0,706
MTCD;0,6;linear;100;98,958 $\pm$ 0,706
MTCD;N/A;rbf;10;98,958 $\pm$ 0,642
MTCD;0,8;rbf;1;98,958 $\pm$ 0,691
MTCD;0,6;rbf;1;98,958 $\pm$ 0,691
MTCD;0,4;linear;10;98,958 $\pm$ 0,531
MTCD;0,4;linear;100;98,958 $\pm$ 0,531
MTCD;0,8;rbf;10;98,958 $\pm$ 0,466
MTCD;0,8;rbf;100;98,958 $\pm$ 0,466
